Отметка времени;День Вашего рождения (числом);Месяц Вашего рождения (числом);Год Вашего рождения (числом);Ваш пол;Полное наименование ВУЗа, в котором Вы учились на время сдачи экзамена;Где Вы жили на время сдачи экзамен?;Ваше семейное положение на время сдачи экзамена;Ваш доход на время сдачи экзамена;По Вашему мнению, каким был предмет?;Был ли Вам полезен данный предмет?;Был ли преподаватель увлечён предметом?;Были ли Вы увлечены данным предметом?;Готовили ли Вы шпаргалки?;Сами ли Вы готовили шпаргалки?;Вы списывали?;За какой период Вы подготовились к экзамену?;Склонны ли Вы к прокрастинации (прокрастина?ция — склонность к постоянному откладыванию какого-либо дела)?;Внимательно ли Вы слушали преподавателя во время лекции?;Было ли несколько удачных опытов в списывании до этого экзамена?;Как Вы посещали пары по этому предмету?;Какой формы был экзамен?;Какой по характеру Ваш преподаватель?;Пол Вашего преподавателя;Приблизительный возраст Вашего преподавателя;Преподаватель замечал, что Вы списываете?;Как вёл пары преподаватель?;Ходил ли преподаватель во время экзамена?;В каких отношениях Вы были с преподавателем?;Какую оценку Вы получили?
4.2.2019 21:49:19;27;4;1999;М;Государственный университет «Дубна»;В общежитии;Один;Живу за счёт родителей;Сложный, т.к. приходилось уделять много времени данному предмету в учебный период;Не был полезен;Нет, не был увлечён;Нет, не был увлечён;Да, готовил;Нет, не сам готовил;Да;Меньше, чем 1 неделя;Да;«В одно ухо влетало, в другое вылетало»;Да, были;Очень часто прогуливал;Письменной;Строгий;Ж;С 30 до 50 лет;Да, и делал замечания;Материал был вообще не понятен;Да, ходил;В нейтральных;3
4.2.2019 21:52:27;1;3;1998;Ж;Государственный Университет Дубна;В съёмной квартире не один;Есть девушка/молодой человек;Живу на стипендию;Сложный, т.к. приходилось уделять много времени данному предмету в учебный период;Был полезен;Да, был увлечён;Да, был увлечён;Нет, не готовил;Не готовил;Нет;От 1 до 2 недель;Нет;Да, конспектировал всё, что он говорит;Нет, не были;Ходили на все пары;Письменной;Добрый и отзывчивый;Ж;Старше 50 лет;Нет, не замечал;Весь материал был понятен;Нет, не ходил;Скорее всего в хороших, чем в плохих;5
4.2.2019 22:10:45;28;10;1998;Ж;Самарский университет;С родителями в квартире;Один;Живу на стипендию;Сложный, т.к. приходилось уделять много времени данному предмету в учебный период;Был полезен;Да, был увлечён;Да, был увлечён;Нет, не готовил;Не готовил;Нет;Больше 2 недель;Да;Да, конспектировал всё, что он говорит;Нет, не были;Ходили на все пары;Письменной;Добрый и отзывчивый;М;Старше 50 лет;Да, и выгонял с экзамена;Материал был понятен не весь;Да, ходил;Скорее всего в хороших, чем в плохих;5
4.2.2019 22:12:13;28;10;1998;Ж;Самарский университет;С родителями в квартире;Один;Живу на стипендию;Сложный, т.к. приходилось уделять много времени данному предмету в учебный период;Не был полезен;Да, был увлечён;Нет, не был увлечён;Да, готовил;Да, сам готовил;Нет;От 1 до 2 недель;Да;Когда как;Нет, не были;Ходили на все пары;Устной;По настроению;Ж;Старше 50 лет;Да, и выгонял с экзамена;Материал был вообще не понятен;Да, ходил;В плохих, преподаватель постоянно цеплялся ко мне;5
4.2.2019 22:41:50;29;06;1994;Ж;Университет Дубна;С родителями в квартире;Есть девушка/молодой человек;Работаю и получаю степендию;Средней сложности: выполнял все задания в учебный период без особых трудностей;Был полезен;Да, был увлечён;Нет, не был увлечён;Да, готовил;Да, сам готовил;Да;Меньше, чем 1 неделя;Да;Когда как;Да, были;Был почти на всех парах;Устной;По настроению;Ж;С 30 до 50 лет;Нет, не замечал;Весь материал был понятен;Нет, не ходил;В нейтральных;5
4.2.2019 23:17:38;5;10;1999;М;Самарский университет ;В общежитии;Один;Живу за счёт родителей;Средней сложности: выполнял все задания в учебный период без особых трудностей;Был полезен;Да, был увлечён;Нет, не был увлечён;Да, готовил;Да, сам готовил;Да;Меньше, чем 1 неделя;Да;Когда как;Да, были;Был почти на всех парах;Письменной;Добрый и отзывчивый;Ж;Старше 50 лет;Да, и делал замечания;Весь материал был понятен;Да, ходил;В нейтральных;2
4.2.2019 23:32:49;23;10;1988;М;«Университет «Дубна»;В общежитии;Один;Живу на стипендию;Сложный, т.к. приходилось уделять много времени данному предмету в учебный период;Был полезен;Да, был увлечён;Да, был увлечён;Да, готовил;Да, сам готовил;Да;Больше 2 недель;Нет;Когда как;Да, были;Был почти на всех парах;Устной;Строгий;Ж;Старше 50 лет;Да, и делал замечания;Весь материал был понятен;Да, ходил;В нейтральных;5
4.2.2019 23:39:39;19;2;1999;Ж;СНИУ им. ак. С.П.Королева;В общежитии;Один;Живу на стипендию;Средней сложности: выполнял все задания в учебный период без особых трудностей;Был полезен;Да, был увлечён;Да, был увлечён;Нет, не готовил;Не готовил;Нет;От 1 до 2 недель;Да;Когда как;Да, были;Был почти на всех парах;Устной;Добрый и отзывчивый;Ж;Старше 50 лет;Нет, не замечал;Весь материал был понятен;Нет, не ходил;Скорее всего в хороших, чем в плохих;5
4.2.2019 23:39:41;7;12;2000;М;Самарский университет ;В общежитии;Есть девушка/молодой человек;Живу за счёт родителей;Сложный, т.к. приходилось уделять много времени данному предмету в учебный период;Был полезен;Да, был увлечён;Нет, не был увлечён;Да, готовил;Да, сам готовил;Да;Меньше, чем 1 неделя;Нет;«В одно ухо влетало, в другое вылетало»;Да, были;Ходили на все пары;Письменной;Добрый и отзывчивый;Ж;Старше 50 лет;Нет, не замечал;Весь материал был понятен;Да, ходил;Скорее всего в хороших, чем в плохих;3
4.3.2019 0:22:06;15;07;1997;Ж;Университет Дубна;В общежитии;Один;Живу на стипендию;Сложный, т.к. приходилось уделять много времени данному предмету в учебный период;Был полезен;Да, был увлечён;Нет, не был увлечён;Да, готовил;Да, сам готовил;Нет;От 1 до 2 недель;Да;Да, конспектировал всё, что он говорит;Да, были;Ходили на все пары;Устной;Строгий;Ж;С 30 до 50 лет;Нет, не замечал;Материал был понятен не весь;Да, ходил;В нейтральных;4
4.3.2019 0:28:28;23;07;1999;Ж;Государственный Университет «Дубна»;В общежитии;Есть девушка/молодой человек;Работаю и получаю степендию;Сложный, т.к. приходилось уделять много времени данному предмету в учебный период;Был полезен;Нет, не был увлечён;Да, был увлечён;Да, готовил;Да, сам готовил;Нет;Меньше, чем 1 неделя;Да;Да, конспектировал всё, что он говорит;Да, были;Ходили на все пары;Устной;По настроению;Ж;С 30 до 50 лет;Нет, не замечал;Материал был понятен не весь;Нет, не ходил;Скорее всего в хороших, чем в плохих;5
4.3.2019 0:51:55;15;12;1995;М;Университет дубна;В общежитии;Есть девушка/молодой человек;Работаю, сам зарабатываю себе на жизнь;Средней сложности: выполнял все задания в учебный период без особых трудностей;Не был полезен;Да, был увлечён;Нет, не был увлечён;Нет, не готовил;Не готовил;Да;Меньше, чем 1 неделя;Да;Когда как;Да, были;Очень часто прогуливал;Письменной;По настроению;М;С 30 до 50 лет;Нет, не замечал;Весь материал был понятен;Нет, не ходил;В нейтральных;4
4.3.2019 0:56:40;29;08;1999;М;Дубна;С родителями в квартире;Один;Живу за счёт родителей;Средней сложности: выполнял все задания в учебный период без особых трудностей;Был полезен;Да, был увлечён;Да, был увлечён;Нет, не готовил;Не готовил;Да;Меньше, чем 1 неделя;Да;Да, конспектировал всё, что он говорит;Нет, не были;Ходили на все пары;Письменной;Строгий;Ж;Старше 50 лет;Нет, не замечал;Весь материал был понятен;Да, ходил;Скорее всего в хороших, чем в плохих;5
4.3.2019 0:58:49;29;08;1999;М;Дубна;С родителями в квартире;Один;Живу за счёт родителей;Сложный, т.к. приходилось уделять много времени данному предмету в учебный период;Был полезен;Да, был увлечён;Нет, не был увлечён;Да, готовил;Да, сам готовил;Да;Меньше, чем 1 неделя;Да;«В одно ухо влетало, в другое вылетало»;Да, были;Ходили на все пары;Письменной;По настроению;М;Старше 50 лет;Да, и позволял это делать;Весь материал был понятен;Нет, не ходил;В плохих, преподаватель постоянно цеплялся ко мне;2
4.3.2019 1:00:40;29;08;1999;М;Дубна;С родителями в квартире;Один;Живу за счёт родителей;Сложный, т.к. приходилось уделять много времени данному предмету в учебный период;Был полезен;Да, был увлечён;Да, был увлечён;Да, готовил;Да, сам готовил;Нет;Больше 2 недель;Да;Да, конспектировал всё, что он говорит;Нет, не были;Ходили на все пары;Письменной;Добрый и отзывчивый;Ж;С 30 до 50 лет;Да, и делал замечания;Весь материал был понятен;Да, ходил;В нейтральных;3
4.3.2019 1:00:42;29;08;1999;М;Дубна;С родителями в квартире;Один;Живу за счёт родителей;Сложный, т.к. приходилось уделять много времени данному предмету в учебный период;Был полезен;Да, был увлечён;Да, был увлечён;Да, готовил;Да, сам готовил;Нет;Больше 2 недель;Да;Да, конспектировал всё, что он говорит;Нет, не были;Ходили на все пары;Письменной;Добрый и отзывчивый;Ж;С 30 до 50 лет;Да, и делал замечания;Весь материал был понятен;Да, ходил;В нейтральных;3
4.3.2019 1:04:27;17;1;1896;Ж;"Международный университет природы, общества и человека ""Дубна""";В общежитии;Есть девушка/молодой человек;Живу за счёт родителей;Средней сложности: выполнял все задания в учебный период без особых трудностей;Был полезен;Да, был увлечён;Да, был увлечён;Да, готовил;Да, сам готовил;Да;От 1 до 2 недель;Да;Да, конспектировал всё, что он говорит;Нет, не были;Был почти на всех парах;Устной;По настроению;М;С 30 до 50 лет;Нет, не замечал;Весь материал был понятен;Да, ходил;В нейтральных;5
4.3.2019 1:06:24;17;1;1986;Ж;"Международный университет природы, общества и человека ""Дубна""";В съёмной квартире не один;Есть девушка/молодой человек;Живу за счёт родителей;Средней сложности: выполнял все задания в учебный период без особых трудностей;Не был полезен;Да, был увлечён;Нет, не был увлечён;Да, готовил;Да, сам готовил;Да;Больше 2 недель;Да;Да, конспектировал всё, что он говорит;Да, были;Был почти на всех парах;Устной;Строгий;Ж;С 30 до 50 лет;Нет, не замечал;Материал был понятен не весь;Нет, не ходил;Скорее всего в хороших, чем в плохих;5
4.3.2019 9:44:52;28;3;1998;М;МУПОЧ;С родителями в квартире;Есть девушка/молодой человек;Живу на стипендию;Сложный, т.к. приходилось уделять много времени данному предмету в учебный период;Не был полезен;Да, был увлечён;Нет, не был увлечён;Да, готовил;Да, сам готовил;Да;Меньше, чем 1 неделя;Да;Да, конспектировал всё, что он говорит;Да, были;Ходили на все пары;Письменной;Строгий;Ж;С 30 до 50 лет;Да, и выгонял с экзамена;Материал был понятен не весь;Да, ходил;В нейтральных;3
4.3.2019 9:46:54;28;03;1998;М;МУПОЧ;В съёмной квартире один;Есть девушка/молодой человек;Работаю, сам зарабатываю себе на жизнь;Сложный, т.к. приходилось уделять много времени данному предмету в учебный период;Не был полезен;Да, был увлечён;Нет, не был увлечён;Да, готовил;Нет, не сам готовил;Да;Меньше, чем 1 неделя;Да;Когда как;Да, были;Был почти на всех парах;Письменной;Добрый и отзывчивый;М;Старше 50 лет;Нет, не замечал;Весь материал был понятен;Да, ходил;В нейтральных;4
4.3.2019 12:36:24;5;12;1997;Ж;Университет Дубна;В общежитии;Есть девушка/молодой человек;Живу за счёт родителей;Лёгкий, т.к. очень редко или вообще не приходилось делать задания;Был полезен;Да, был увлечён;Да, был увлечён;Нет, не готовил;Не готовил;Да;Меньше, чем 1 неделя;Да;Да, конспектировал всё, что он говорит;Да, были;Был почти на всех парах;Устной;Добрый и отзывчивый;М;С 30 до 50 лет;Нет, не замечал;Весь материал был понятен;Нет, не ходил;В нейтральных;5
4.3.2019 15:12:03;28;10;1998;Ж;Самарский университет;С родителями в квартире;Один;Живу за счёт родителей;Сложный, т.к. приходилось уделять много времени данному предмету в учебный период;Не был полезен;Нет, не был увлечён;Нет, не был увлечён;Нет, не готовил;Не готовил;Нет;От 1 до 2 недель;Да;Да, конспектировал всё, что он говорит;Нет, не были;Ходили на все пары;Устной;Строгий;Ж;Старше 50 лет;Нет, не замечал;Материал был вообще не понятен;Да, ходил;Скорее всего в плохих, чем в хороших;5
4.3.2019 17:45:54;28;05;1995;Ж;Пермский государственный национальный исследовательский университет;С родителями в квартире;Есть девушка/молодой человек;Работаю и получаю степендию;Сложный, т.к. приходилось уделять много времени данному предмету в учебный период;Был полезен;Да, был увлечён;Да, был увлечён;Да, готовил;Да, сам готовил;Нет;Больше 2 недель;Да;Да, конспектировал всё, что он говорит;Да, были;Ходили на все пары;Устной;Строгий;Ж;С 30 до 50 лет;Нет, не замечал;Весь материал был понятен;Нет, не ходил;Скорее всего в хороших, чем в плохих;5
4.3.2019 18:31:30;27;01;1998;Ж;Самарский университет;С родителями в квартире;Один;Живу за счёт родителей;Средней сложности: выполнял все задания в учебный период без особых трудностей;Не был полезен;Нет, не был увлечён;Нет, не был увлечён;Нет, не готовил;Не готовил;Нет;Меньше, чем 1 неделя;Да;«В одно ухо влетало, в другое вылетало»;Да, были;Ходили на все пары;Устной;Добрый и отзывчивый;Ж;С 30 до 50 лет;Нет, не замечал;Материал был вообще не понятен;Нет, не ходил;В нейтральных;4
4.3.2019 21:34:40;1;05;1998;Ж;Самарский университет;С родителями в квартире;Один;Живу за счёт родителей;Сложный, т.к. приходилось уделять много времени данному предмету в учебный период;Был полезен;Да, был увлечён;Нет, не был увлечён;Нет, не готовил;Не готовил;Нет;Больше 2 недель;Да;Когда как;Нет, не были;Ходили на все пары;Устной;Добрый и отзывчивый;Ж;Старше 50 лет;Нет, не замечал;Весь материал был понятен;Нет, не ходил;Скорее всего в хороших, чем в плохих;5
4.3.2019 21:36:50;01;05;1998;Ж;Самарский университет;С родителями в квартире;Один;Живу за счёт родителей;Средней сложности: выполнял все задания в учебный период без особых трудностей;Не был полезен;Да, был увлечён;Нет, не был увлечён;Да, готовил;Да, сам готовил;Да;Больше 2 недель;Да;«В одно ухо влетало, в другое вылетало»;Нет, не были;Был почти на всех парах;Письменной;По настроению;М;Старше 50 лет;Да, и позволял это делать;Материал был вообще не понятен;Да, ходил;В нейтральных;4
4.3.2019 21:38:39;01;05;1998;Ж;Самарский университет;С родителями в квартире;Один;Живу за счёт родителей;Сложный, т.к. приходилось уделять много времени данному предмету в учебный период;Не был полезен;Нет, не был увлечён;Нет, не был увлечён;Нет, не готовил;Не готовил;Нет;Больше 2 недель;Да;«В одно ухо влетало, в другое вылетало»;Нет, не были;Был почти на всех парах;Письменной;Строгий;Ж;Старше 50 лет;Нет, не замечал;Материал был вообще не понятен;Да, ходил;Скорее всего в плохих, чем в хороших;5
4.3.2019 23:59:35;26;6;1995;Ж;Университет Дубна;С родителями в квартире;Один;Работаю и получаю степендию;Средней сложности: выполнял все задания в учебный период без особых трудностей;Был полезен;Да, был увлечён;Да, был увлечён;Нет, не готовил;Не готовил;Да;Меньше, чем 1 неделя;Да;Когда как;Да, были;Ходили на все пары;Устной;Добрый и отзывчивый;М;Старше 50 лет;Нет, не замечал;Весь материал был понятен;Нет, не ходил;В очень хороших отношениях;5
4.4.2019 0:29:50;12;06;1997;Ж;"Государственный университет ""Дубна""";В общежитии;Один;Живу за счёт родителей;Сложный, т.к. приходилось уделять много времени данному предмету в учебный период;Был полезен;Да, был увлечён;Да, был увлечён;Да, готовил;Да, сам готовил;Да;От 1 до 2 недель;Да;Да, конспектировал всё, что он говорит;Да, были;Ходили на все пары;Устной;По настроению;Ж;Старше 50 лет;Нет, не замечал;Весь материал был понятен;Нет, не ходил;Скорее всего в хороших, чем в плохих;4
4.4.2019 1:59:05;11;06;2000;Ж;"Университет ""Дубна""";С родителями в квартире;Один;Живу за счёт родителей;Сложный, т.к. приходилось уделять много времени данному предмету в учебный период;Был полезен;Да, был увлечён;Да, был увлечён;Нет, не готовил;Не готовил;Нет;Меньше, чем 1 неделя;Да;Да, конспектировал всё, что он говорит;Нет, не были;Ходили на все пары;Устной;Добрый и отзывчивый;М;Старше 50 лет;Да, и делал замечания;Весь материал был понятен;Нет, не ходил;В очень хороших отношениях;5
4.4.2019 10:27:19;30;6;1997;Ж;МУПОЧ;В общежитии;Есть девушка/молодой человек;Живу за счёт родителей;Сложный, т.к. приходилось уделять много времени данному предмету в учебный период;Был полезен;Да, был увлечён;Нет, не был увлечён;Да, готовил;Да, сам готовил;Да;Меньше, чем 1 неделя;Да;«В одно ухо влетало, в другое вылетало»;Да, были;Был почти на всех парах;Письменной;По настроению;М;Старше 50 лет;Нет, не замечал;Материал был понятен не весь;Да, ходил;В нейтральных;4
4.4.2019 19:21:28;16;4;2001;Ж;Государственный университет «Дубна»;В съёмной квартире не один;Есть девушка/молодой человек;Живу за счёт родителей;Средней сложности: выполнял все задания в учебный период без особых трудностей;Был полезен;Да, был увлечён;Да, был увлечён;Да, готовил;Нет, не сам готовил;Да;Меньше, чем 1 неделя;Да;Да, конспектировал всё, что он говорит;Да, были;Был почти на всех парах;Письменной;Добрый и отзывчивый;М;Старше 50 лет;Нет, не замечал;Материал был понятен не весь;Нет, не ходил;В нейтральных;4
4.4.2019 23:35:47;22;07;1997;Ж;ПНИПУ;С родителями в квартире;Один;Живу на стипендию;Средней сложности: выполнял все задания в учебный период без особых трудностей;Был полезен;Да, был увлечён;Да, был увлечён;Да, готовил;Да, сам готовил;Нет;От 1 до 2 недель;Нет;Когда как;Да, были;Был почти на всех парах;Письменной;Добрый и отзывчивый;Ж;Старше 50 лет;Нет, не замечал;Весь материал был понятен;Да, ходил;Скорее всего в хороших, чем в плохих;5
4.4.2019 23:38:19;19;9;1997;Ж;ПНИПУ;С родителями в квартире;Есть девушка/молодой человек;Живу на стипендию;Лёгкий, т.к. очень редко или вообще не приходилось делать задания;Не был полезен;Нет, не был увлечён;Нет, не был увлечён;Да, готовил;Да, сам готовил;Да;Меньше, чем 1 неделя;Да;«В одно ухо влетало, в другое вылетало»;Да, были;Был почти на всех парах;Устной;Добрый и отзывчивый;М;С 30 до 50 лет;Да, и позволял это делать;Весь материал был понятен;Нет, не ходил;В очень хороших отношениях;5
4.4.2019 23:39:31;27;08;1999;Ж;ПНИПУ;С родителями в квартире;Один;Живу за счёт родителей;Сложный, т.к. приходилось уделять много времени данному предмету в учебный период;Был полезен;Да, был увлечён;Да, был увлечён;Да, готовил;Да, сам готовил;Да;Меньше, чем 1 неделя;Да;Да, конспектировал всё, что он говорит;Да, были;Ходили на все пары;Устной;Добрый и отзывчивый;Ж;С 30 до 50 лет;Да, и позволял это делать;Весь материал был понятен;Нет, не ходил;Скорее всего в хороших, чем в плохих;4
4.4.2019 23:46:46;30;02;2000;Ж;Пермский Национально-Исследовательский  Политехнический Университет ;С родителями в квартире;Есть девушка/молодой человек;Живу за счёт родителей;Сложный, т.к. приходилось уделять много времени данному предмету в учебный период;Был полезен;Да, был увлечён;Да, был увлечён;Да, готовил;Да, сам готовил;Нет;От 1 до 2 недель;Да;Когда как;Нет, не были;Ходили на все пары;Устной;Добрый и отзывчивый;Ж;До 30 лет;Да, и делал замечания;Весь материал был понятен;Нет, не ходил;Скорее всего в хороших, чем в плохих;4
4.4.2019 23:52:32;8;12;1998;Ж;ПНИПУ;С родителями в квартире;Есть девушка/молодой человек;Живу за счёт родителей;Сложный, т.к. приходилось уделять много времени данному предмету в учебный период;Был полезен;Да, был увлечён;Да, был увлечён;Да, готовил;Да, сам готовил;Да;Меньше, чем 1 неделя;Да;Да, конспектировал всё, что он говорит;Да, были;Ходили на все пары;Устной;По настроению;Ж;Старше 50 лет;Нет, не замечал;Весь материал был понятен;Нет, не ходил;Скорее всего в хороших, чем в плохих;4
4.5.2019 0:20:23;25;11;2000;М;ПНИПУ;С родителями в квартире;Есть девушка/молодой человек;Работаю и получаю степендию;Средней сложности: выполнял все задания в учебный период без особых трудностей;Был полезен;Да, был увлечён;Да, был увлечён;Нет, не готовил;Не готовил;Нет;Меньше, чем 1 неделя;Да;Когда как;Да, были;Очень часто прогуливал;Устной;Добрый и отзывчивый;Ж;С 30 до 50 лет;Нет, не замечал;Весь материал был понятен;Нет, не ходил;Скорее всего в хороших, чем в плохих;3
4.5.2019 0:39:29;21;11;1997;Ж;ПНИПУ ;С родителями в квартире;Есть девушка/молодой человек;Живу на стипендию;Средней сложности: выполнял все задания в учебный период без особых трудностей;Был полезен;Да, был увлечён;Нет, не был увлечён;Нет, не готовил;Не готовил;Нет;Меньше, чем 1 неделя;Да;Когда как;Нет, не были;Был почти на всех парах;Письменной;По настроению;Ж;Старше 50 лет;Нет, не замечал;Материал был понятен не весь;Нет, не ходил;В нейтральных;5
4.5.2019 8:33:33;2;7;1998;Ж;ПНИПУ;В своей квартире не один;Есть девушка/молодой человек;Работаю и получаю степендию;Средней сложности: выполнял все задания в учебный период без особых трудностей;Был полезен;Да, был увлечён;Да, был увлечён;Да, готовил;Да, сам готовил;Да;Меньше, чем 1 неделя;Да;Когда как;Да, были;Был почти на всех парах;Устной;По настроению;Ж;С 30 до 50 лет;Нет, не замечал;Весь материал был понятен;Да, ходил;Скорее всего в хороших, чем в плохих;5
4.5.2019 13:13:56;12;8;2000;М;ПНИПУ;С родителями в квартире;Есть девушка/молодой человек;Работаю и получаю степендию;Лёгкий, т.к. очень редко или вообще не приходилось делать задания;Был полезен;Да, был увлечён;Да, был увлечён;Да, готовил;Нет, не сам готовил;Да;Меньше, чем 1 неделя;Нет;Когда как;Нет, не были;Был почти на всех парах;Письменной;Добрый и отзывчивый;М;Старше 50 лет;Да, и позволял это делать;Весь материал был понятен;Да, ходил;Скорее всего в хороших, чем в плохих;4
4.5.2019 13:17:29;20;08;1998;Ж;Государственный университет Дубна ;В своей квартире не один;Есть девушка/молодой человек;Живу на стипендию;Средней сложности: выполнял все задания в учебный период без особых трудностей;Был полезен;Да, был увлечён;Да, был увлечён;Да, готовил;Да, сам готовил;Нет;Меньше, чем 1 неделя;Да;Да, конспектировал всё, что он говорит;Да, были;Ходили на все пары;Устной;Добрый и отзывчивый;Ж;С 30 до 50 лет;Нет, не замечал;Весь материал был понятен;Нет, не ходил;В очень хороших отношениях;5
4.6.2019 1:16:06;15;9;2000;Ж;Самарский национальный исследовательский университет;В своей квартире не один;Есть девушка/молодой человек;Живу за счёт родителей;Сложный, т.к. приходилось уделять много времени данному предмету в учебный период;Не был полезен;Да, был увлечён;Нет, не был увлечён;Да, готовил;Да, сам готовил;Да;Больше 2 недель;Да;«В одно ухо влетало, в другое вылетало»;Нет, не были;Был почти на всех парах;Устной;По настроению;Ж;Старше 50 лет;Да, и делал замечания;Материал был вообще не понятен;Да, ходил;Скорее всего в плохих, чем в хороших;3
4.6.2019 3:43:26;31;10;2000;Ж;СНИУ им. С.П. Королёва;В общежитии;Один;Живу за счёт родителей;Сложный, т.к. приходилось уделять много времени данному предмету в учебный период;Не был полезен;Да, был увлечён;Нет, не был увлечён;Нет, не готовил;Не готовил;Нет;Меньше, чем 1 неделя;Да;Да, конспектировал всё, что он говорит;Нет, не были;Ходили на все пары;Письменной;По настроению;Ж;С 30 до 50 лет;Нет, не замечал;Материал был понятен не весь;Да, ходил;В нейтральных;5
4.6.2019 3:45:37;31;10;2000;Ж;СНИУ им. С.П. Королева;В общежитии;Один;Живу за счёт родителей;Средней сложности: выполнял все задания в учебный период без особых трудностей;Был полезен;Да, был увлечён;Да, был увлечён;Да, готовил;Да, сам готовил;Нет;Меньше, чем 1 неделя;Да;Да, конспектировал всё, что он говорит;Нет, не были;Ходили на все пары;Письменной;Добрый и отзывчивый;Ж;С 30 до 50 лет;Нет, не замечал;Весь материал был понятен;Да, ходил;В нейтральных;5
4.6.2019 23:21:00;31;3;1993;Ж;ПГГПУ;С родителями в квартире;Один;Живу на стипендию;Сложный, т.к. приходилось уделять много времени данному предмету в учебный период;Был полезен;Да, был увлечён;Да, был увлечён;Да, готовил;Да, сам готовил;Нет;Больше 2 недель;Да;Да, конспектировал всё, что он говорит;Да, были;Был почти на всех парах;Письменной;Добрый и отзывчивый;Ж;Старше 50 лет;Нет, не замечал;Весь материал был понятен;Да, ходил;В очень хороших отношениях;5
4.7.2019 18:45:23;10;2;2001;М;Самарский национальный исследовательский университет;В общежитии;Есть девушка/молодой человек;Живу за счёт родителей;Сложный, т.к. приходилось уделять много времени данному предмету в учебный период;Был полезен;Да, был увлечён;Нет, не был увлечён;Нет, не готовил;Не готовил;Нет;От 1 до 2 недель;Да;Да, конспектировал всё, что он говорит;Нет, не были;Ходили на все пары;Письменной;По настроению;Ж;С 30 до 50 лет;Да, и выгонял с экзамена;Материал был понятен не весь;Да, ходил;Скорее всего в хороших, чем в плохих;3
4.8.2019 13:31:55;23;01;1997;М;Самарский государственный университет;С родителями в квартире;Один;Работаю и получаю степендию;Средней сложности: выполнял все задания в учебный период без особых трудностей;Не был полезен;Да, был увлечён;Да, был увлечён;Да, готовил;Да, сам готовил;Да;Меньше, чем 1 неделя;Да;Да, конспектировал всё, что он говорит;Да, были;Ходили на все пары;Письменной;По настроению;М;С 30 до 50 лет;Да, и делал замечания;Весь материал был понятен;Да, ходил;Скорее всего в хороших, чем в плохих;3
4.12.2019 3:07:15;2;2;1999;М;СПБГУ;В общежитии;Один;Живу за счёт родителей;Средней сложности: выполнял все задания в учебный период без особых трудностей;Был полезен;Да, был увлечён;Да, был увлечён;Нет, не готовил;Не готовил;Нет;Меньше, чем 1 неделя;Да;Да, конспектировал всё, что он говорит;Нет, не были;Ходили на все пары;Письменной;Строгий;М;С 30 до 50 лет;Нет, не замечал;Весь материал был понятен;Да, ходил;Скорее всего в хороших, чем в плохих;5
4.12.2019 3:08:34;2;2;1999;М;СПБГУ;В общежитии;Один;Живу за счёт родителей;Лёгкий, т.к. очень редко или вообще не приходилось делать задания;Был полезен;Нет, не был увлечён;Да, был увлечён;Нет, не готовил;Не готовил;Нет;Меньше, чем 1 неделя;Да;Когда как;Нет, не были;Ходили на все пары;Устной;По настроению;М;Старше 50 лет;Нет, не замечал;Материал был понятен не весь;Нет, не ходил;В нейтральных;5
5.10.2019 2:17:58;19;7;1996;М;Пермский государственный национальный исследовательский университет;С родителями в квартире;Есть девушка/молодой человек;Работаю и получаю степендию;Лёгкий, т.к. очень редко или вообще не приходилось делать задания;Не был полезен;Да, был увлечён;Нет, не был увлечён;Да, готовил;Нет, не сам готовил;Да;Меньше, чем 1 неделя;Да;«В одно ухо влетало, в другое вылетало»;Да, были;Ходили на все пары;Письменной;Строгий;М;Старше 50 лет;Да, и выгонял с экзамена;Материал был вообще не понятен;Нет, не ходил;В нейтральных;4
5.22.2019 9:12:01;8;7;1989;М;ПГНИУ;С родителями в квартире;Один;Живу за счёт родителей;Средней сложности: выполнял все задания в учебный период без особых трудностей;Был полезен;Да, был увлечён;Да, был увлечён;Нет, не готовил;Не готовил;Нет;Меньше, чем 1 неделя;Да;Да, конспектировал всё, что он говорит;Да, были;Был почти на всех парах;Устной;Добрый и отзывчивый;М;С 30 до 50 лет;Нет, не замечал;Материал был понятен не весь;Нет, не ходил;Скорее всего в хороших, чем в плохих;5
6.17.2019 1:22:28;5;5;1996;Ж;ФГБОУ ВО ПГНИУ;С родителями в квартире;Есть девушка/молодой человек;Живу на стипендию;Средней сложности: выполнял все задания в учебный период без особых трудностей;Был полезен;Нет, не был увлечён;Нет, не был увлечён;Нет, не готовил;Не готовил;Да;Меньше, чем 1 неделя;Да;Когда как;Да, были;Был почти на всех парах;Письменной;Добрый и отзывчивый;Ж;С 30 до 50 лет;Нет, не замечал;Весь материал был понятен;Нет, не ходил;В нейтральных;5
6.23.2019 19:14:39;25;8;1997;М;Пермский национально исследовательский политехнический университет ;С родителями в квартире;Один;Работаю, сам зарабатываю себе на жизнь;Лёгкий, т.к. очень редко или вообще не приходилось делать задания;Не был полезен;Да, был увлечён;Нет, не был увлечён;Да, готовил;Нет, не сам готовил;Да;Меньше, чем 1 неделя;Да;Когда как;Да, были;Был почти на всех парах;Устной;По настроению;М;С 30 до 50 лет;Нет, не замечал;Весь материал был понятен;Да, ходил;В нейтральных;4
